,latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
354,41.801053667281984,-87.63391489959422,60609,859,11133
355,41.79474961822409,-87.68019503833453,60609,1327,16133
356,41.82403283232944,-87.63609008311998,60609,781,8925
357,41.82268002409516,-87.64681185843548,60609,886,10047
358,41.81469232500567,-87.64156600578117,60609,825,10314
359,41.82975770633157,-87.65392943459801,60609,895,9617
360,41.815078823717926,-87.68019788655008,60609,1020,11167
361,41.808723589488395,-87.63840290073932,60609,818,10634
362,41.820845336958946,-87.66739439319764,60609,1023,11774
363,41.8252592537915,-87.68104595661946,60609,891,9769
364,41.799668135905634,-87.67291141252466,60609,1273,14445
365,41.988791628091334,-87.89602611600648,60666,1640,31403
366,41.979425957890854,-87.93745522133233,60666,0,0
367,41.98044122227969,-87.88896261336545,60666,1640,29286
368,41.96174029967934,-87.92060616439588,60666,1918,36800
369,41.99388563739844,-87.89606995710491,60666,1640,31403
370,41.99853406102417,-87.92538109681394,60666,0,0
371,41.987542406307355,-87.92965146077306,60666,0,0
372,41.95546913197838,-87.91242002052088,60666,1728,33857
373,41.99155439433696,-87.89529252320773,60666,1640,31403
374,41.94926998223547,-87.71829254964948,60618,1027,13303
375,41.94619320412367,-87.67914676361991,60618,1183,11110
376,41.933329537675654,-87.69920257537703,60618,829,10556
377,41.93864026480804,-87.69469895637029,60618,998,12000
378,41.94179996186492,-87.7050775846814,60618,912,11730
379,41.938829614614995,-87.70249263592943,60618,832,11219
380,41.93659246713317,-87.6876043678717,60618,937,10401
381,41.951818672053335,-87.70811615675771,60618,1071,12857
382,41.93878182093033,-87.684534327827,60618,1049,10860
383,41.93486204902592,-87.713169128288,60618,899,12516
384,41.943936621073235,-87.71280233263481,60618,820,12248
385,41.956625299823344,-87.72057357130743,60618,1183,14046
386,41.93359389378595,-87.70540480606871,60618,869,11335
387,41.839603670822484,-87.61968527996105,60616,750,7747
388,41.84059379397258,-87.6179343844159,60616,729,6810
389,41.84638986953089,-87.61104040562789,60616,595,7796
390,41.83974630369006,-87.62046362281646,60616,768,7806
391,41.856290250378784,-87.61580357901246,60616,476,3653
392,41.832704308496425,-87.63789862985844,60616,755,7984
393,41.85036500222218,-87.61904141693574,60616,629,7312
394,41.85460632947934,-87.61597924651096,60616,584,4088
395,41.837867674682386,-87.60671627906271,60616,655,5885
396,41.833320402991774,-87.60969617525959,60616,969,9447
397,41.88418751468096,-87.62566748462552,60602,289,945
398,41.88302708147543,-87.61803603205463,60602,305,1557
399,41.88315475425551,-87.63332456134641,60602,305,1236
400,41.88322498824279,-87.61698520170349,60602,309,1611
401,41.88304568463068,-87.62469518729316,60602,203,759
402,41.88319918026544,-87.62600585361713,60602,258,902
403,41.88360121137576,-87.62348938077645,60602,350,1024
404,41.88287282222788,-87.61759064052056,60602,305,1558
